Ingredient;ID;Ingredient class;Class ID
Agretti;1;Verdure a foglia;15
Alice fish;2;Pesce di mare;26
Allspice;3;Erbe;16
Mandorle;4;Frutta secca;22
Rana pescatrice;5;Pesce di mare;26
Anice;6;Spezie;30
Aperol;7;Vini e liquori;35
Mela;8;Frutta dolce;31
Carciofo;9;Verdure;34
Formaggio Asiago;10;Formaggio;7
Asparago;11;Verdure a foglia;15
Melanzana;12;Verdure;34
Avocado;13;Frutta dolce;31
Pancetta;14;Carne di maiale;23
Germogli di Bambù;15;Verdure a foglia;15
Orzo;16;Cereali;6
Basilico;17;Erbe;16
Pastella;18;Latte e panna;19
Fagioli;19;Legumi;18
Besciamella;20;Latte e panna;19
Manzo;21;Manzo;1
Brodo di manzo;22;Brodo;4
Birra;23;Vini e liquori;35
Pepe nero;24;Spezie;30
Pagello;25;Pesce di mare;26
Formaggio erborinato;26;Formaggio morbido;29
Mirtilli;27;Bacche;2
Cinghiale;28;Carne di maiale;23
Bottarga;29;Pesce di mare;26
Formaggio Boursault;30;Formaggio morbido;29
Brandy;31;Vini e liquori;35
Pane;32;Pane;3
Brie;33;Formaggio morbido;29
Rombo;34;Pesce di mare;26
Broccoli;35;Verdure;34
Cavoletti di Bruxelles;36;Verdure;34
Bucatini;37;Pasta secca;11
Bulgur;38;Cereali;6
Burrata;39;Formaggio morbido;29
Burro;40;Burro;5
Cavolo;41;Verdure;34
Caciocavallo;42;Formaggio;7
Caciotta;43;Formaggio;7
Cajun;44;Spezie;30
Calamarata;45;Pasta secca;11
Formaggio Camembert;46;Formaggio morbido;29
Capperi;47;Frutta salata;25
Cardamomo;48;Spezie;30
Carote;49;Verdure;34
Caserecce;50;Pasta secca;11
Anacardi;51;Frutta secca;22
Cavolfiore;52;Verdure;34
Cayenna;53;Spezie;30
Sedano;54;Verdure a foglia;15
Bietola;55;Verdure a foglia;15
Formaggio Cheddar;56;Formaggio;7
Castagne;57;Frutta secca;22
Pollo;58;Carne di pollo;8
Ceci;59;Legumi;18
Cicoria;60;Verdure a foglia;15
Peperoncino;61;Spezie;30
Erba cipollina;62;Erbe;16
Chorizo;63;Carne di maiale;23
Cannella;64;Spezie;30
Vongole;65;Molluschi;20
Chiodi di garofano;66;Spezie;30
Cacao in polvere;67;Spezie;30
Merluzzo;68;Pesce di mare;26
Merluzzo;69;Pesce di mare;26
Caffè;70;Spezie;30
Cognac;71;Vini e liquori;35
Susina comune;72;Frutta dolce;31
Conchiglioni;73;Pasta secca;11
Coriandolo;74;Spezie;30
Mais;75;Cereali;6
Amido di mais;76;Farina;13
Cotechino;77;Carne di maiale;23
Couscous;78;Pasta secca;11
Carne di granchio;79;Crostacei;28
Panna;80;Latte e panna;19
Cetriolo;81;Verdure;34
Cumino;82;Spezie;30
Ribes;83;Bacche;2
Curry in polvere;84;Spezie;30
Seppie;85;Molluschi;20
Ditaloni;86;Pasta secca;11
Fichi secchi;87;Frutta secca;22
Anatra;88;Carne di pollo;8
Edam;89;Formaggio;7
Uova;90;Uova;12
Formaggio Emmental;91;Formaggio;7
Farfalle;92;Pasta secca;11
Fave;93;Legumi;18
Finocchio;94;Verdure;34
Formaggio Feta;95;Formaggio morbido;29
Fichi;96;Frutta dolce;31
Filo;97;Pasta fresca;14
Brodo di pesce;98;Brodo;4
Semi di lino;99;Spezie;30
Farina;100;Farina;13
Focaccia;101;Pane;3
Formaggio Fontina;102;Formaggio;7
Würstel;103;Carne di maiale;23
Succo di frutta;104;Condimenti;10
Fusilli;105;Pasta secca;11
Garam Masala;106;Spezie;30
Aglio;107;Erbe;16
Zenzero;108;Spezie;30
Formaggio di capra;109;Formaggio;7
Carne di capra;110;Carne di pecora;27
Grand Marnier;111;Vini e liquori;35
Pompelmo;112;Frutta dolce;31
Grappa;113;Vini e liquori;35
Fagiolini;114;Verdure;34
Formaggio Gruyère;115;Formaggio;7
Guanciale;116;Carne di maiale;23
Guanciale;117;Carne di maiale;23
Prosciutto Cotto;118;Carne di maiale;23
Miele;119;Dolcificanti;32
Ginepro;120;Spezie;30
Ketchup;121;Condimenti;10
Agnello;122;Carne di pecora;27
Valeriana;123;Verdure a foglia;15
Formaggio Langres;124;Formaggio morbido;29
Strutto;125;Carne di maiale;23
Strutto;126;Carne di maiale;23
Latteria;127;Erbe;16
Alloro;128;Erbe;16
Limone;129;Agrumi;9
Limone;130;Verdure;34
Lenticchie;131;Legumi;18
Lenticchie;132;Legumi;18
Linguine;133;Pasta secca;11
Linguine;134;Pasta secca;11
Lucanica;135;Carne di maiale;23
Sgombro;136;Pesce di mare;26
Malto;137;Cereali;6
Mandarino;138;Agrumi;9
Sciroppo d'acero;139;Condimenti;10
